x_px,y_px
309.0,506.0
309.0,533.0
309.0,543.0
309.0,562.125
309.0,567.0
309.0,586.0
309.0,605.0
309.0,625.0
309.0,639.0
309.0,664.0
309.0,700.0
309.0,716.0
309.0,719.6666666666666
309.0,809.6666666666666
309.0,830.0
309.0,836.0
309.0,846.3333333333334
309.0,855.0
309.14285714285717,755.7142857142857
309.2,738.1
309.5,816.5
310.0,676.0
311.0,695.0
312.0,364.0
313.0,806.0
314.0,452.0
314.0,751.0
314.0,770.0
314.0,841.0
315.25,489.75
316.9166666666667,659.625
317.0,603.0
317.3333333333333,526.0
318.0,560.0
319.0,695.0
320.0,642.0
320.0,787.0
321.0,676.0
322.0,711.0
322.0,806.0
322.1818181818182,584.5454545454545
324.6923076923077,45.46153846153846
324.75,809.25
325.0,7.666666666666667
325.0,483.6666666666667
325.0,548.6666666666666
325.0,562.0
325.0,620.6666666666666
325.0,637.6666666666666
325.0,659.6666666666666
325.0,680.0
325.0,698.0
325.0,719.0
325.0,831.0
325.25,584.0
325.3333333333333,789.4761904761905
325.625,839.5
325.775,755.675
326.0,751.0
326.0,770.0
328.0,624.0
329.0,603.0
330.0,676.0
330.0,824.0
332.0,729.0
332.0,770.0
333.0,295.0
334.0,468.0
